agency_ori_7,nonzero_years,offense,consistent,ori_group,larger_city
AL06207,0.0,murder,False,7,False
AL06300,26.0,murder,False,9B,False
AL06301,31.0,murder,False,3,False
AL06302,12.0,murder,False,4,False
AL06303,1.0,murder,False,7,False
AL06305,0.0,murder,False,7,False
AL06307,0.0,murder,False,7,False
AL06308,0.0,murder,False,7,False
AL06311,0.0,murder,False,7,False
AL06314,1.0,murder,False,7,False
AL06400,4.0,murder,False,9B,False
AL06401,16.0,murder,False,5,False
AL06402,0.0,murder,False,7,False
AL06403,2.0,murder,False,7,False
AL06404,1.0,murder,False,7,False
AL06405,4.0,murder,False,7,False
AL06406,1.0,murder,False,7,False
AL06407,0.0,murder,False,7,False
AL06408,0.0,murder,False,7,False
AL06409,0.0,murder,False,7,False
AL06411,0.0,murder,False,7,False
AL06500,6.0,murder,False,8C,False
AL06501,3.0,murder,False,7,False
AL06502,0.0,murder,False,7,False
AL06503,2.0,murder,False,7,False
AL06600,15.0,murder,False,8D,False
AL06601,0.0,murder,False,7,False
AL06602,4.0,murder,False,7,False
AL06700,5.0,murder,False,8C,False
AL06701,0.0,murder,False,7,False
AL06702,2.0,murder,False,6,False
AL06703,0.0,murder,False,7,False
AL06704,0.0,murder,False,7,False
AL06705,0.0,murder,False,7,False
ALAST00,0.0,murder,False,8D,False
ALDI001,0.0,murder,False,7,False
ALDI002,0.0,murder,False,7,False
ALDI003,0.0,murder,False,7,False
AR00100,5.0,murder,False,8D,False
AR00101,4.0,murder,False,6,False
AR00102,18.0,murder,False,6,False
AR00103,0.0,murder,False,7,False
AR00105,0.0,murder,False,7,False
AR00200,22.0,murder,False,8C,False
AR00201,12.0,murder,False,6,False
AR00202,11.0,murder,False,6,False
AR00203,0.0,murder,False,7,False
AR00300,17.0,murder,False,8C,False
AR00301,5.0,murder,False,5,False
AR00302,0.0,murder,False,7,False
AR00303,0.0,murder,False,7,False
AR00304,0.0,murder,False,7,False
AR00305,0.0,murder,False,7,False
AR00400,26.0,murder,False,9B,False
AR00401,8.0,murder,False,4,False
AR00402,14.0,murder,False,3,False
AR00403,7.0,murder,False,5,False
AR00404,0.0,murder,False,6,False
AR00405,0.0,murder,False,6,False
AR00406,1.0,murder,False,6,False
AR00407,0.0,murder,False,6,False
AR00408,0.0,murder,False,7,False
AR00409,0.0,murder,False,6,False
AR00411,0.0,murder,False,7,False
AR00412,1.0,murder,False,6,False
AR00413,0.0,murder,False,5,False
AR00414,0.0,murder,False,7,False
AR00416,1.0,murder,False,6,False
AR00417,0.0,murder,False,,
AR00420,0.0,murder,False,7,False
AR00421,3.0,murder,False,4,False
AR00500,16.0,murder,False,8C,False
AR00501,9.0,murder,False,5,False
AR00502,0.0,murder,False,7,False
AR00600,9.0,murder,False,8D,False
AR00601,13.0,murder,False,6,False
AR00602,0.0,murder,False,7,False
AR00700,10.0,murder,False,8D,False
AR00701,4.0,murder,False,7,False
AR00800,12.0,murder,False,8C,False
AR00801,4.0,murder,False,6,False
AR00802,2.0,murder,False,7,False
AR00803,1.0,murder,False,6,False
AR00900,16.0,murder,False,8D,False
AR00901,11.0,murder,False,6,False
AR00902,11.0,murder,False,7,False
AR00903,11.0,murder,False,7,False
AR01000,8.0,murder,False,8D,False
AR01001,6.0,murder,False,5,False
AR01002,3.0,murder,False,7,False
AR01003,0.0,murder,False,7,False
AR01004,0.0,murder,False,7,False
AR01005,0.0,murder,False,7,False
AR01100,10.0,murder,False,8D,False
AR01101,3.0,murder,False,6,False
AR01102,1.0,murder,False,6,False
AR01200,9.0,murder,False,8C,False
AR01201,2.0,murder,False,6,False
AR01202,0.0,murder,False,7,False
AR01203,0.0,murder,False,7,False
AR01204,0.0,murder,False,,
AR01300,9.0,murder,False,9D,False
AR01301,1.0,murder,False,7,False
AR01400,25.0,murder,False,8C,False
AR01401,17.0,murder,False,5,False
AR01405,0.0,murder,False,7,False
AR01500,15.0,murder,False,8C,False
AR01501,12.0,murder,False,6,False
AR01503,0.0,murder,False,7,False
AR01504,0.0,murder,False,7,False
AR01505,0.0,murder,False,,
AR01600,21.0,murder,False,9C,False
AR01601,37.0,murder,True,3,False
AR01602,0.0,murder,False,7,False
AR01603,0.0,murder,False,7,False
AR01604,0.0,murder,False,7,False
AR01605,0.0,murder,False,7,False
AR01606,0.0,murder,False,7,False
AR01607,0.0,murder,False,7,False
AR01615,0.0,murder,False,6,False
AR01700,16.0,murder,False,9B,False
AR01701,15.0,murder,False,5,False
AR01702,0.0,murder,False,6,False
AR01703,0.0,murder,False,7,False
AR01705,0.0,murder,False,7,False
AR01706,0.0,murder,False,,
AR01712,0.0,murder,False,,
AR01800,28.0,murder,False,9D,False
AR01801,37.0,murder,True,5,False
AR01802,1.0,murder,False,7,False
AR01804,5.0,murder,False,5,False
AR01810,0.0,murder,False,,
AR01900,13.0,murder,False,8D,False
AR01901,10.0,murder,False,6,False
AR01902,0.0,murder,False,7,False
AR01903,0.0,murder,False,,
AR02000,10.0,murder,False,8D,False
AR02001,11.0,murder,False,6,False
AR02100,9.0,murder,False,8D,False
AR02101,8.0,murder,False,6,False
AR02102,0.0,murder,False,7,False
AR02103,15.0,murder,False,6,False
AR02200,11.0,murder,False,8D,False
AR02201,19.0,murder,False,6,False
AR02203,0.0,murder,False,7,False
AR02300,18.0,murder,False,9B,False
AR02301,27.0,murder,False,3,False
AR02302,1.0,murder,False,6,False
AR02303,0.0,murder,False,7,False
AR02304,0.0,murder,False,6,False
AR02305,0.0,murder,False,7,False
AR02306,1.0,murder,False,7,False
AR02400,5.0,murder,False,8C,False
AR02401,3.0,murder,False,6,False
AR02402,1.0,murder,False,7,False
AR02403,0.0,murder,False,7,False
AR02500,12.0,murder,False,8D,False
AR02501,0.0,murder,False,7,False
AR02502,0.0,murder,False,7,False
AR02600,31.0,murder,False,9B,False
AR02601,36.0,murder,True,4,False
AR02603,0.0,murder,False,7,False
AR02700,6.0,murder,False,9C,False
AR02701,3.0,murder,False,6,False
AR02800,12.0,murder,False,8C,False
AR02801,14.0,murder,False,4,False
AR02802,2.0,murder,False,7,False
AR02900,10.0,murder,False,8C,False
AR02901,20.0,murder,False,6,False
AR03000,11.0,murder,False,8C,False
AR03001,19.0,murder,False,5,False
AR03003,0.0,murder,False,7,False
AR03100,7.0,murder,False,8D,False
AR03101,10.0,murder,False,6,False
AR03102,0.0,murder,False,7,False
AR03104,0.0,murder,False,7,False
AR03200,17.0,murder,False,8B,False
AR03201,1.0,murder,False,5,False
AR03202,0.0,murder,False,7,False
AR03203,0.0,murder,False,7,False
AR03300,4.0,murder,False,8C,False
AR03302,0.0,murder,False,7,False
AR03400,13.0,murder,False,8D,False
AR03401,15.0,murder,False,6,False
AR03402,1.0,murder,False,7,False
AR03403,0.0,murder,False,7,False
AR03406,0.0,murder,False,7,False
