agency_ori_7,nonzero_years,offense,consistent,ori_group,larger_city
ALAST00,0.0,assault_gun,False,8D,False
ALDI001,0.0,assault_gun,False,7,False
ALDI002,0.0,assault_gun,False,7,False
ALDI003,1.0,assault_gun,False,7,False
AR00100,14.0,assault_gun,False,8D,False
AR00101,22.0,assault_gun,False,6,False
AR00102,23.0,assault_gun,False,6,False
AR00103,0.0,assault_gun,False,7,False
AR00105,0.0,assault_gun,False,7,False
AR00200,29.0,assault_gun,False,8C,False
AR00201,32.0,assault_gun,False,6,False
AR00202,21.0,assault_gun,False,6,False
AR00203,0.0,assault_gun,False,7,False
AR00300,33.0,assault_gun,False,8C,False
AR00301,12.0,assault_gun,False,5,False
AR00302,0.0,assault_gun,False,7,False
AR00303,0.0,assault_gun,False,7,False
AR00304,0.0,assault_gun,False,7,False
AR00305,0.0,assault_gun,False,7,False
AR00400,35.0,assault_gun,True,9B,False
AR00401,30.0,assault_gun,False,4,False
AR00402,36.0,assault_gun,True,3,False
AR00403,27.0,assault_gun,False,5,False
AR00404,5.0,assault_gun,False,6,False
AR00405,2.0,assault_gun,False,6,False
AR00406,11.0,assault_gun,False,6,False
AR00407,2.0,assault_gun,False,6,False
AR00408,1.0,assault_gun,False,7,False
AR00409,2.0,assault_gun,False,6,False
AR00411,0.0,assault_gun,False,7,False
AR00412,0.0,assault_gun,False,6,False
AR00413,6.0,assault_gun,False,5,False
AR00414,0.0,assault_gun,False,7,False
AR00416,2.0,assault_gun,False,6,False
AR00417,0.0,assault_gun,False,,
AR00420,1.0,assault_gun,False,7,False
AR00421,6.0,assault_gun,False,4,False
AR00500,33.0,assault_gun,False,8C,False
AR00501,31.0,assault_gun,False,5,False
AR00502,0.0,assault_gun,False,7,False
AR00600,19.0,assault_gun,False,8D,False
AR00601,19.0,assault_gun,False,6,False
AR00602,1.0,assault_gun,False,7,False
AR00700,20.0,assault_gun,False,8D,False
AR00701,8.0,assault_gun,False,7,False
AR00800,34.0,assault_gun,True,8C,False
AR00801,22.0,assault_gun,False,6,False
AR00802,10.0,assault_gun,False,7,False
AR00803,9.0,assault_gun,False,6,False
AR00900,11.0,assault_gun,False,8D,False
AR00901,18.0,assault_gun,False,6,False
AR00902,19.0,assault_gun,False,7,False
AR00903,29.0,assault_gun,False,7,False
AR01000,27.0,assault_gun,False,8D,False
AR01001,22.0,assault_gun,False,5,False
AR01002,7.0,assault_gun,False,7,False
AR01003,2.0,assault_gun,False,7,False
AR01004,2.0,assault_gun,False,7,False
AR01005,0.0,assault_gun,False,7,False
AR01100,13.0,assault_gun,False,8D,False
AR01101,7.0,assault_gun,False,6,False
AR01102,3.0,assault_gun,False,6,False
AR01200,26.0,assault_gun,False,8C,False
AR01201,17.0,assault_gun,False,6,False
AR01202,0.0,assault_gun,False,7,False
AR01203,1.0,assault_gun,False,7,False
AR01204,0.0,assault_gun,False,,
AR01300,19.0,assault_gun,False,9D,False
AR01301,3.0,assault_gun,False,7,False
AR01400,34.0,assault_gun,True,8C,False
AR01401,31.0,assault_gun,False,5,False
AR01405,1.0,assault_gun,False,7,False
AR01500,26.0,assault_gun,False,8C,False
AR01501,18.0,assault_gun,False,6,False
AR01503,0.0,assault_gun,False,7,False
AR01504,0.0,assault_gun,False,7,False
AR01505,0.0,assault_gun,False,,
AR01600,25.0,assault_gun,False,9C,False
AR01601,37.0,assault_gun,True,3,False
AR01602,1.0,assault_gun,False,7,False
AR01603,1.0,assault_gun,False,7,False
AR01604,2.0,assault_gun,False,7,False
AR01605,4.0,assault_gun,False,7,False
AR01606,0.0,assault_gun,False,7,False
AR01607,1.0,assault_gun,False,7,False
AR01615,2.0,assault_gun,False,6,False
AR01700,27.0,assault_gun,False,9B,False
AR01701,30.0,assault_gun,False,5,False
AR01702,10.0,assault_gun,False,6,False
AR01703,2.0,assault_gun,False,7,False
AR01705,1.0,assault_gun,False,7,False
AR01706,0.0,assault_gun,False,,
AR01712,0.0,assault_gun,False,,
AR01800,35.0,assault_gun,True,9D,False
AR01801,37.0,assault_gun,True,5,False
AR01802,5.0,assault_gun,False,7,False
AR01804,24.0,assault_gun,False,5,False
AR01810,0.0,assault_gun,False,,
AR01900,21.0,assault_gun,False,8D,False
AR01901,24.0,assault_gun,False,6,False
AR01902,1.0,assault_gun,False,7,False
AR01903,0.0,assault_gun,False,,
AR02000,12.0,assault_gun,False,8D,False
AR02001,25.0,assault_gun,False,6,False
AR02100,9.0,assault_gun,False,8D,False
AR02101,21.0,assault_gun,False,6,False
AR02102,1.0,assault_gun,False,7,False
